FROM,TO,TOTAL
Elk Grove,Cosumnes,172
Elk Grove,Delta,25
Elk Grove,Downtown,389
Elk Grove,East Sacramento,459
Elk Grove,El Dorado,103
Elk Grove,Elk Grove,6918
Elk Grove,Fair Oaks,18
Elk Grove,Folsom,85
Elk Grove,Franklin,39
Elk Grove,Galt,236
Elk Grove,Laguna,2314
Elk Grove,Land Park-Pocket-Meadowview,442
Elk Grove,North Natomas,137
Elk Grove,North Sacramento,225
Elk Grove,NW Vision Area,49
Elk Grove,Orangevale,14
Elk Grove,Placer,231
Elk Grove,Rancho Cordova East,88
Elk Grove,Rancho Cordova West,323
Elk Grove,Rancho Murieta,40
Elk Grove,Rio Linda - Elverta,17
Elk Grove,Rosemont,178
Elk Grove,South Natomas,53
Elk Grove,South Sacramento,2472
Elk Grove,Southeast County,53
Elk Grove,Sutter,38
Elk Grove,Vineyard,887
Elk Grove,Yolo,217
Elk Grove,Yuba,14
Fair Oaks,Antelope-North Highlands,229
Fair Oaks,Arden Arcade,173
Fair Oaks,Carmichael,307
Fair Oaks,Citrus Heights,879
Fair Oaks,Cosumnes,10
Fair Oaks,Delta,2
Fair Oaks,Downtown,97
Fair Oaks,East Sacramento,101
Fair Oaks,El Dorado,148
Fair Oaks,Elk Grove,11
Fair Oaks,Fair Oaks,1819
Fair Oaks,Folsom,304
Fair Oaks,Galt,9
Fair Oaks,Laguna,32
Fair Oaks,Land Park-Pocket-Meadowview,56
Fair Oaks,North Natomas,38
Fair Oaks,North Sacramento,64
Fair Oaks,NW Vision Area,15
Fair Oaks,Orangevale,501
Fair Oaks,Placer,465
Fair Oaks,Rancho Cordova East,29
Fair Oaks,Rancho Cordova West,436
Fair Oaks,Rancho Murieta,4
Fair Oaks,Rio Linda - Elverta,13
Fair Oaks,Rosemont,73
Fair Oaks,South Natomas,37
Fair Oaks,South Sacramento,118
Fair Oaks,Sutter,12
Fair Oaks,Vineyard,10
Fair Oaks,Yolo,69
Fair Oaks,Yuba,10
Folsom,Antelope-North Highlands,327
Folsom,Arden Arcade,307
Folsom,Carmichael,156
Folsom,Citrus Heights,552
Folsom,Cosumnes,47
Folsom,Delta,1
Folsom,Downtown,284
Folsom,East Sacramento,296
Folsom,El Dorado,2558
Folsom,Elk Grove,80
Folsom,Fair Oaks,338
Folsom,Folsom,13931
Folsom,Franklin,5
Folsom,Galt,26
Folsom,Laguna,107
Folsom,Land Park-Pocket-Meadowview,120
Folsom,North Natomas,102
Folsom,North Sacramento,152
Folsom,NW Vision Area,55
Folsom,Orangevale,525
Folsom,Placer,1354
Folsom,Rancho Cordova East,265
Folsom,Rancho Cordova West,1185
Folsom,Rancho Murieta,78
Folsom,Rio Linda - Elverta,27
Folsom,Rosemont,218
Folsom,South Natomas,75
Folsom,South Sacramento,336
Folsom,Southeast County,14
Folsom,Sutter,37
Folsom,Vineyard,51
Folsom,Yolo,115
Folsom,Yuba,34
Franklin,Antelope-North Highlands,14
Franklin,Arden Arcade,18
Franklin,Carmichael,6
Franklin,Citrus Heights,4
Franklin,Cosumnes,5
Franklin,Delta,4
Franklin,Downtown,28
Franklin,East Sacramento,17
Franklin,El Dorado,17
Franklin,Elk Grove,37
Franklin,Folsom,12
Franklin,Franklin,151
Franklin,Galt,6
Franklin,Laguna,155
Franklin,Land Park-Pocket-Meadowview,27
Franklin,North Natomas,19
Franklin,North Sacramento,11
Franklin,NW Vision Area,6
Franklin,Orangevale,1
Franklin,Placer,29
Franklin,Rancho Cordova West,9
Franklin,Rancho Murieta,1
Franklin,Rio Linda - Elverta,1
Franklin,Rosemont,8
Franklin,South Natomas,8
Franklin,South Sacramento,53
Franklin,Southeast County,4
Franklin,Sutter,23
Franklin,Vineyard,13
Franklin,Yolo,37
Franklin,Yuba,7
Galt,Antelope-North Highlands,31
Galt,Arden Arcade,73
Galt,Carmichael,12
Galt,Citrus Heights,24
Galt,Cosumnes,42
Galt,Delta,20
Galt,Downtown,108
Galt,East Sacramento,97
Galt,El Dorado,60
Galt,Elk Grove,256
Galt,Fair Oaks,7
Galt,Folsom,35
Galt,Franklin,12
Galt,Galt,3859
Galt,Laguna,282
Galt,Land Park-Pocket-Meadowview,79
Galt,North Natomas,48
Galt,North Sacramento,42
Galt,NW Vision Area,8
Galt,Orangevale,3
Galt,Placer,95
Galt,Rancho Cordova East,9
Galt,Rancho Cordova West,68
Galt,Rancho Murieta,11
Galt,Rio Linda - Elverta,3
Galt,Rosemont,33
Galt,South Natomas,7
Galt,South Sacramento,262
Galt,Southeast County,198
Galt,Sutter,16
Galt,Vineyard,31
Galt,Yolo,79
Galt,Yuba,4
Laguna,Antelope-North Highlands,200
Laguna,Arden Arcade,432
Laguna,Carmichael,45
Laguna,Citrus Heights,129
Laguna,Cosumnes,91
Laguna,Delta,62
Laguna,Downtown,839
Laguna,East Sacramento,618
Laguna,El Dorado,90
Laguna,Elk Grove,2316
Laguna,Fair Oaks,30
Laguna,Folsom,122
Laguna,Franklin,148
Laguna,Galt,259
Laguna,Laguna,13022
Laguna,Land Park-Pocket-Meadowview,1065
Laguna,North Natomas,218
Laguna,North Sacramento,265
Laguna,NW Vision Area,78
Laguna,Orangevale,17
Laguna,Placer,327
Laguna,Rancho Cordova East,29
Laguna,Rancho Cordova West,402
Laguna,Rancho Murieta,14
Laguna,Rio Linda - Elverta,9
Laguna,Rosemont,257
Laguna,South Natomas,145
Laguna,South Sacramento,3117
Laguna,Southeast County,40
Laguna,Sutter,36
Laguna,Vineyard,410
Laguna,Yolo,337
Laguna,Yuba,20
Land Park-Pocket-Meadowview,Antelope-North Highlands,317
Land Park-Pocket-Meadowview,Arden Arcade,555
Land Park-Pocket-Meadowview,Carmichael,120
Land Park-Pocket-Meadowview,Citrus Heights,189
Land Park-Pocket-Meadowview,Cosumnes,22
Land Park-Pocket-Meadowview,Delta,68
Land Park-Pocket-Meadowview,Downtown,1597
Land Park-Pocket-Meadowview,East Sacramento,1236
Land Park-Pocket-Meadowview,El Dorado,139
Land Park-Pocket-Meadowview,Elk Grove,457
Land Park-Pocket-Meadowview,Fair Oaks,54
Land Park-Pocket-Meadowview,Folsom,122
Land Park-Pocket-Meadowview,Franklin,21
Land Park-Pocket-Meadowview,Galt,78
Land Park-Pocket-Meadowview,Laguna,1079
Land Park-Pocket-Meadowview,Land Park-Pocket-Meadowview,11900
Land Park-Pocket-Meadowview,North Natomas,369
Land Park-Pocket-Meadowview,North Sacramento,559
Land Park-Pocket-Meadowview,NW Vision Area,82
Land Park-Pocket-Meadowview,Orangevale,30
Land Park-Pocket-Meadowview,Placer,446
Land Park-Pocket-Meadowview,Rancho Cordova East,57
Land Park-Pocket-Meadowview,Rancho Cordova West,435
Land Park-Pocket-Meadowview,Rancho Murieta,7
Land Park-Pocket-Meadowview,Rio Linda - Elverta,48
Land Park-Pocket-Meadowview,Rosemont,197
Land Park-Pocket-Meadowview,South Natomas,292
Land Park-Pocket-Meadowview,South Sacramento,4015
Land Park-Pocket-Meadowview,Southeast County,8
Land Park-Pocket-Meadowview,Sutter,49
Land Park-Pocket-Meadowview,Vineyard,143
Land Park-Pocket-Meadowview,Yolo,1006
Land Park-Pocket-Meadowview,Yuba,48
North Natomas,Antelope-North Highlands,626
North Natomas,Arden Arcade,509
North Natomas,Carmichael,134
North Natomas,Citrus Heights,219
North Natomas,Cosumnes,8
North Natomas,Delta,6
North Natomas,Downtown,884
North Natomas,East Sacramento,367
North Natomas,El Dorado,64
North Natomas,Elk Grove,137
North Natomas,Fair Oaks,32
North Natomas,Folsom,112
North Natomas,Franklin,3
North Natomas,Galt,35
North Natomas,Laguna,207
North Natomas,Land Park-Pocket-Meadowview,377
North Natomas,North Natomas,7832
North Natomas,North Sacramento,1161
North Natomas,NotUsed,1
North Natomas,NW Vision Area,257
North Natomas,Orangevale,37
North Natomas,Placer,678
North Natomas,Rancho Cordova East,18
North Natomas,Rancho Cordova West,235
North Natomas,Rancho Murieta,2
North Natomas,Rio Linda - Elverta,188
North Natomas,Rosemont,118
North Natomas,South Natomas,1285
North Natomas,South Sacramento,564
North Natomas,Southeast County,9
North Natomas,Sutter,144
North Natomas,Vineyard,36
North Natomas,Yolo,995
North Natomas,Yuba,112
North Sacramento,Antelope-North Highlands,1478
North Sacramento,Arden Arcade,2341
North Sacramento,Carmichael,279
North Sacramento,Citrus Heights,451
North Sacramento,Cosumnes,17
North Sacramento,Delta,7
North Sacramento,Downtown,998
North Sacramento,East Sacramento,868
North Sacramento,El Dorado,127
North Sacramento,Elk Grove,208
North Sacramento,Fair Oaks,72
North Sacramento,Folsom,139
North Sacramento,Franklin,10
North Sacramento,Galt,33
North Sacramento,Laguna,281
North Sacramento,Land Park-Pocket-Meadowview,589
North Sacramento,North Natomas,1145
North Sacramento,North Sacramento,10119
North Sacramento,NW Vision Area,122
North Sacramento,Orangevale,62
North Sacramento,Placer,932
North Sacramento,Rancho Cordova East,32
North Sacramento,Rancho Cordova West,415
North Sacramento,Rancho Murieta,2
North Sacramento,Rio Linda - Elverta,344
North Sacramento,Rosemont,217
North Sacramento,South Natomas,1120
North Sacramento,South Sacramento,1115
North Sacramento,Southeast County,8
North Sacramento,Sutter,101
North Sacramento,Vineyard,66
North Sacramento,Yolo,768
North Sacramento,Yuba,65
NW Vision Area,Antelope-North Highlands,91
NW Vision Area,Arden Arcade,69
NW Vision Area,Carmichael,19
NW Vision Area,Citrus Heights,47
NW Vision Area,Cosumnes,6
NW Vision Area,Delta,2
NW Vision Area,Downtown,95
NW Vision Area,East Sacramento,42
NW Vision Area,El Dorado,49
NW Vision Area,Elk Grove,39
NW Vision Area,Fair Oaks,13
NW Vision Area,Folsom,64
NW Vision Area,Franklin,1
NW Vision Area,Galt,7
NW Vision Area,Laguna,89
NW Vision Area,Land Park-Pocket-Meadowview,77
NW Vision Area,North Natomas,232
NW Vision Area,North Sacramento,120
NW Vision Area,NW Vision Area,1012
NW Vision Area,Orangevale,8
NW Vision Area,Placer,221
NW Vision Area,Rancho Cordova East,7
NW Vision Area,Rancho Cordova West,37
NW Vision Area,Rancho Murieta,1
NW Vision Area,Rio Linda - Elverta,24
NW Vision Area,Rosemont,15
NW Vision Area,South Natomas,41
NW Vision Area,South Sacramento,152
NW Vision Area,Sutter,47
NW Vision Area,Vineyard,10
NW Vision Area,Yolo,145
NW Vision Area,Yuba,27
Orangevale,Antelope-North Highlands,201
Orangevale,Arden Arcade,95
Orangevale,Carmichael,79
Orangevale,Citrus Heights,795
Orangevale,Cosumnes,8
Orangevale,Delta,2
Orangevale,Downtown,94
Orangevale,East Sacramento,52
Orangevale,El Dorado,115
Orangevale,Elk Grove,11
Orangevale,Fair Oaks,496
Orangevale,Folsom,557
Orangevale,Galt,2
Orangevale,Laguna,16
Orangevale,Land Park-Pocket-Meadowview,31
Orangevale,North Natomas,41
Orangevale,North Sacramento,57
Orangevale,NW Vision Area,8
Orangevale,Orangevale,2205
Orangevale,Placer,600
Orangevale,Rancho Cordova East,41
Orangevale,Rancho Cordova West,187
Orangevale,Rancho Murieta,1
Orangevale,Rio Linda - Elverta,10
Orangevale,Rosemont,49
Orangevale,South Natomas,22
Orangevale,South Sacramento,81
Orangevale,Southeast County,4
Orangevale,Sutter,16
Orangevale,Vineyard,16
Orangevale,Yolo,73
Orangevale,Yuba,17
Placer,Antelope-North Highlands,3911
Placer,Arden Arcade,1218
Placer,Carmichael,555
Placer,Citrus Heights,3403
Placer,Cosumnes,49
Placer,Delta,17
Placer,Downtown,1042
Placer,East Sacramento,824
Placer,El Dorado,1079
Placer,Elk Grove,247
Placer,Fair Oaks,464
Placer,Folsom,1369
Placer,Franklin,6
Placer,Galt,61
Placer,Laguna,323
Placer,Land Park-Pocket-Meadowview,422
Placer,North Natomas,651
Placer,North Sacramento,961
Placer,NW Vision Area,222
Placer,Orangevale,587
Placer,Placer,91047
Placer,Rancho Cordova East,106
Placer,Rancho Cordova West,1028
Placer,Rancho Murieta,10
Placer,Rio Linda - Elverta,326
Placer,Rosemont,290
Placer,South Natomas,429
Placer,South Sacramento,957
Placer,Southeast County,14
Placer,Sutter,493
Placer,Vineyard,103
Placer,Yolo,885
Placer,Yuba,974
Rancho Cordova East,Antelope-North Highlands,68
Rancho Cordova East,Arden Arcade,65
Rancho Cordova East,Carmichael,32
Rancho Cordova East,Citrus Heights,102
Rancho Cordova East,Cosumnes,6
Rancho Cordova East,Delta,1
Rancho Cordova East,Downtown,88
Rancho Cordova East,East Sacramento,68
Rancho Cordova East,El Dorado,153
Rancho Cordova East,Elk Grove,91
Rancho Cordova East,Fair Oaks,29
Rancho Cordova East,Folsom,285
Rancho Cordova East,Galt,3
Rancho Cordova East,Laguna,34
Rancho Cordova East,Land Park-Pocket-Meadowview,53
Rancho Cordova East,North Natomas,21
Rancho Cordova East,North Sacramento,37
Rancho Cordova East,NW Vision Area,4
Rancho Cordova East,Orangevale,43
Rancho Cordova East,Placer,111
Rancho Cordova East,Rancho Cordova East,878
Rancho Cordova East,Rancho Cordova West,624
Rancho Cordova East,Rancho Murieta,4
Rancho Cordova East,Rio Linda - Elverta,4
Rancho Cordova East,Rosemont,62
Rancho Cordova East,South Natomas,30
Rancho Cordova East,South Sacramento,134
Rancho Cordova East,Southeast County,4
Rancho Cordova East,Sutter,7
Rancho Cordova East,Vineyard,35
Rancho Cordova East,Yolo,59
Rancho Cordova East,Yuba,7
Rancho Cordova West,Antelope-North Highlands,739
Rancho Cordova West,Arden Arcade,817
Rancho Cordova West,Carmichael,429
Rancho Cordova West,Citrus Heights,809
Rancho Cordova West,Cosumnes,101
Rancho Cordova West,Delta,18
Rancho Cordova West,Downtown,523
Rancho Cordova West,East Sacramento,786
Rancho Cordova West,El Dorado,696
Rancho Cordova West,Elk Grove,309
Rancho Cordova West,Fair Oaks,438
Rancho Cordova West,Folsom,1176
Rancho Cordova West,Franklin,4
Rancho Cordova West,Galt,49
Rancho Cordova West,Laguna,374
Rancho Cordova West,Land Park-Pocket-Meadowview,427
Rancho Cordova West,North Natomas,253
Rancho Cordova West,North Sacramento,414
Rancho Cordova West,NW Vision Area,39
Rancho Cordova West,Orangevale,210
Rancho Cordova West,Placer,1026
Rancho Cordova West,Rancho Cordova East,661
Rancho Cordova West,Rancho Cordova West,12913
Rancho Cordova West,Rancho Murieta,60
Rancho Cordova West,Rio Linda - Elverta,38
Rancho Cordova West,Rosemont,1035
Rancho Cordova West,South Natomas,180
Rancho Cordova West,South Sacramento,1090
Rancho Cordova West,Southeast County,11
Rancho Cordova West,Sutter,55
Rancho Cordova West,Vineyard,238
Rancho Cordova West,Yolo,388
Rancho Cordova West,Yuba,46
Rancho Murieta,Antelope-North Highlands,4
Rancho Murieta,Arden Arcade,22
Rancho Murieta,Carmichael,5
Rancho Murieta,Citrus Heights,4
Rancho Murieta,Cosumnes,76
Rancho Murieta,Downtown,23
Rancho Murieta,East Sacramento,23
Rancho Murieta,El Dorado,28
Rancho Murieta,Elk Grove,43
Rancho Murieta,Fair Oaks,3
Rancho Murieta,Folsom,88
Rancho Murieta,Galt,6
Rancho Murieta,Laguna,17
Rancho Murieta,Land Park-Pocket-Meadowview,6
Rancho Murieta,North Natomas,1
Rancho Murieta,North Sacramento,4
Rancho Murieta,NW Vision Area,3
Rancho Murieta,Orangevale,1
Rancho Murieta,Placer,14
Rancho Murieta,Rancho Cordova East,2
Rancho Murieta,Rancho Cordova West,57
Rancho Murieta,Rancho Murieta,322
Rancho Murieta,Rosemont,11
Rancho Murieta,South Natomas,2
Rancho Murieta,South Sacramento,27
Rancho Murieta,Sutter,1
Rancho Murieta,Vineyard,22
Rancho Murieta,Yolo,13
Rio Linda - Elverta,Antelope-North Highlands,588
Rio Linda - Elverta,Arden Arcade,119
Rio Linda - Elverta,Carmichael,71
Rio Linda - Elverta,Citrus Heights,135
Rio Linda - Elverta,Cosumnes,1
Rio Linda - Elverta,Delta,2
Rio Linda - Elverta,Downtown,58
Rio Linda - Elverta,East Sacramento,65
Rio Linda - Elverta,El Dorado,16
Rio Linda - Elverta,Elk Grove,8
Rio Linda - Elverta,Fair Oaks,14
Rio Linda - Elverta,Folsom,27
Rio Linda - Elverta,Galt,2
Rio Linda - Elverta,Laguna,9
Rio Linda - Elverta,Land Park-Pocket-Meadowview,42
Rio Linda - Elverta,North Natomas,190
Rio Linda - Elverta,North Sacramento,340
Rio Linda - Elverta,NW Vision Area,23
Rio Linda - Elverta,Orangevale,13
Rio Linda - Elverta,Placer,312
Rio Linda - Elverta,Rancho Cordova East,4
Rio Linda - Elverta,Rancho Cordova West,47
Rio Linda - Elverta,Rio Linda - Elverta,2074
Rio Linda - Elverta,Rosemont,18
Rio Linda - Elverta,South Natomas,54
Rio Linda - Elverta,South Sacramento,63
Rio Linda - Elverta,Sutter,28
Rio Linda - Elverta,Vineyard,7
Rio Linda - Elverta,Yolo,127
Rio Linda - Elverta,Yuba,22
Rosemont,Antelope-North Highlands,228
Rosemont,Arden Arcade,521
Rosemont,Carmichael,104
Rosemont,Citrus Heights,155
Rosemont,Cosumnes,21
Rosemont,Delta,2
Rosemont,Downtown,367
Rosemont,East Sacramento,639
Rosemont,El Dorado,119
Rosemont,Elk Grove,193
Rosemont,Fair Oaks,69
Rosemont,Folsom,210
Rosemont,Franklin,8
Rosemont,Galt,25
Rosemont,Laguna,222
Rosemont,Land Park-Pocket-Meadowview,184
Rosemont,North Natomas,144
Rosemont,North Sacramento,230
Rosemont,NW Vision Area,15
Rosemont,Orangevale,51
Rosemont,Placer,295
Rosemont,Rancho Cordova East,67
Rosemont,Rancho Cordova West,1038
Rosemont,Rancho Murieta,9
Rosemont,Rio Linda - Elverta,18
Rosemont,Rosemont,2801
Rosemont,South Natomas,107
Rosemont,South Sacramento,551
Rosemont,Southeast County,5
Rosemont,Sutter,14
Rosemont,Vineyard,151
Rosemont,Yolo,182
Rosemont,Yuba,24
South Natomas,Antelope-North Highlands,394
South Natomas,Arden Arcade,424
South Natomas,Carmichael,91
South Natomas,Citrus Heights,187
South Natomas,Cosumnes,3
South Natomas,Delta,4
South Natomas,Downtown,759
South Natomas,East Sacramento,635
South Natomas,El Dorado,103
